Director,Average Box Office Revenue ($)
Peter Jackson,956000000.0
Bill Condon,829700000.0
Tim Miller,782600000.0
Zack Snyder,770350000.0
Marc Webb,757900000.0
Eric Darnell,746900000.0
Anthony Russo,714400000.0
Matt Reeves,710600000.0
Francis Lawrence,704400000.0
Chris Renaud,681500000.0
Christopher Nolan,675100000.0
Bryan Singer,646250000.0
Dean DeBlois,621500000.0
Ang Lee,609000000.0
Chris Sanders,587200000.0
Steve Martino,561600000.0
Stephen Chow,553800000.0
Marc Forster,540000000.0
Alejandro G. Iñárritu,533000000.0
Gareth Edwards,529000000.0
Jennifer Yuh Nelson,519900000.0
Peyton Reed,519400000.0
Ridley Scott,516800000.0
Justin Lin,515850000.0
Carlos Saldanha,500100000.0
Christopher McQuarrie,450300000.0
Alan Taylor,440600000.0
Duncan Jones,433500000.0
Genndy Tartakovsky,415700000.0
James Mangold,414800000.0
Matthew Vaughn,414400000.0
Jonathan Liebesman,399300000.0
Rupert Sanders,396600000.0
Tim Johnson,386000000.0
Raman Hui,385200000.0
Seth MacFarlane,383050000.0
George Miller,378400000.0
Olivier Megaton,376100000.0
Jon Chu,375700000.0
Simon J. Smith,373000000.0
Doug Liman,370500000.0
David Fincher,369300000.0
Mike Thurmeier,368300000.0
Darren Aronofsky,362600000.0
Gary Ross,357800000.0
Tony Scott,356800000.0
David Yates,352700000.0
Louis Leterrier,351700000.0
Baz Luhrmann,351000000.0
Paul Greengrass,347900000.0
