Movie Title,Gross Profit ($)
Despicable Me 2,894800000.0
Ice Age: Continental Drift,782000000.0
Deadpool,724600000.0
The Twilight Saga: Breaking Dawn – Part 2,709700000.0
The Hobbit: The Battle of the Five Armies,706000000.0
The Secret Life of Pets,649900000.0
The Hunger Games: Mockingjay – Part 1,630400000.0
Fast & Furious 6,628700000.0
Batman v Superman: Dawn of Justice,622700000.0
The Hunger Games,616400000.0
Madagascar 3: Europe's Most Wanted,601900000.0
X-Men: Days of Future Past,547900000.0
Captain America: The Winter Soldier,544400000.0
Mission: Impossible – Rogue Nation,532300000.0
The Amazing Spider-Man,527900000.0
The Martian,522200000.0
Interstellar,510100000.0
Ted,498400000.0
The Hunger Games: Mockingjay – Part 2,493400000.0
The Mermaid,493080000.0
Life of Pi,489000000.0
American Sniper,488600000.0
How to Train Your Dragon 2,476500000.0
Dawn of the Planet of the Apes,475600000.0
Suicide Squad,461700000.0
The Croods,452200000.0
Man of Steel,443000000.0
Lucy,423400000.0
The Lego Movie,409200000.0
Men in Black 3,409000000.0
The Revenant,398000000.0
Rio 2,397100000.0
Hotel Transylvania 2,393000000.0
Ant-Man,389400000.0
Les Misérables,380800000.0
Kung Fu Panda 3,374900000.0
Raiders of the Lost Ark: The IMAX Experience,371900000.0
Godzilla,369000000.0
Teenage Mutant Ninja Turtles,368300000.0
X-Men: Apocalypse,366600000.0
World War Z,350000000.0
Top Gun 3D,341800000.0
Taken 2,333100000.0
Monster Hunt,329200000.0
Django Unchained,325400000.0
Kingsman: The Secret Service,320400000.0
The Maze Runner,314300000.0
Gone Girl,308300000.0
The Conjuring,298000000.0
The Wolverine,294800000.0
The Fault in Our Stars,294200000.0
Terminator Genisys,285600000.0
The Conjuring 2,279500000.0
Dr. Seuss' The Lorax,278800000.0
Now You See Me,276700000.0
The Angry Birds Movie,273900000.0
Warcraft,273500000.0
Prometheus,273400000.0
Hotel Transylvania,273400000.0
Ice Age: Collision Course,263300000.0
The Hangover Part III,259000000.0
Pitch Perfect 2,258100000.0
Journey 2: The Mysterious Island,256300000.0
Neighbors,252700000.0
Maze Runner: The Scorch Trials,251300000.0
Home,251000000.0
Annabelle,250399999.99999997
The SpongeBob Movie: Sponge Out of Water,249400000.0
22 Jump Street,246800000.0
The Great Gatsby,246000000.0
G.I. Joe: Retaliation,245700000.0
The Smurfs 2,242500000.0
Penguins of Madagascar,241000000.0
Noah,237600000.0
Night at the Museum: Secret of the Tomb,236200000.0
Now You See Me 2,230900000.0
Mad Max: Fury Road,228400000.0
Jason Bourne,227900000.0
300: Rise of an Empire,227600000.0
Snow White and the Huntsman,226600000.0
Pacific Rim,221000000.0
The Imitation Game,219600000.0
Independence Day: Resurgence,217300000.0
Silver Linings Playbook,215400000.0
A Good Day to Die Hard,212700000.0
Lincoln,210300000.0
The Expendables 2,205400000.0
Divergent,203900000.0
Cloudy with a Chance of Meatballs 2,196300000.0
Edge of Tomorrow,192500000.0
Argo,187800000.0
The Divergent Series: Insurgent,187300000.0
The Heat,186900000.0
American Reunion,185000000.0
Hansel and Gretel: Witch Hunters,176300000.0
Me Before You,176200000.0
Epic,175399999.99999997
Resident Evil: Retribution,175200000.0
Non-Stop,172800000.0
The Legend of Tarzan,172700000.0
Daddy's Home,171400000.0
Elysium,171100000.0
Spy,170700000.0
Grown Ups 2,167000000.0
Oblivion,166200000.0
Central Intelligence,162200000.0
Rise of the Guardians,161900000.0
Stand by Me Doraemon,161400000.0
Jack Reacher,158300000.0
Insidious: Chapter 2,156900000.0
The Other Woman,156700000.0
Turbo,155600000.0
Wrath of the Titans,155300000.0
The Grand Budapest Hotel,151800000.0
Straight Outta Compton,151600000.0
The Bourne Legacy,151100000.0
The Intern,150600000.0
Ted 2,148700000.0
The Peanuts Movie,147200000.0
Dracula Untold,147100000.0
The Butler,146600000.0
Looper,146500000.0
21 Jump Street,146500000.0
Alvin and the Chipmunks: The Road Chip,144800000.0
Fury,143800000.0
RoboCop,142700000.0
Identity Thief,139000000.0
Need for Speed,138300000.0
Paranormal Activity 4,137800000.0
The Equalizer,137300000.0
London Has Fallen,135700000.0
The Impossible,135300000.0
Creed,133600000.0
Mama,131400000.0
Flight,130800000.0
Mr. Peabody & Sherman,130700000.0
Ride Along,129500000.0
The Best Exotic Marigold Hotel ₪,126800000.0
Bridge of Spies,125500000.0
Safe House,123100000.0
The Secret World of Arrietty,122600000.0
Let's Be Cops,121200000.0
Lights Out,121000000.0
Dumb and Dumber To,119800000.0
The Expendables 3,116200000.0
Pixels,115900000.0
Chronicle,114600000.0
The Dictator,114400000.0
After Earth,113800000.0
The Woman in Black,113500000.0
Percy Jackson: Sea of Monsters,112200000.0
The Hateful Eight,111800000.0
Into the Storm,111700000.0
The Theory of Everything,108700000.0
Teenage Mutant Ninja Turtles: Out of the Shadows,107500000.0
The Big Short,105300000.00000001
Bad Moms,104200000.0
Insidious: Chapter 3,102000000.0
The Devil Inside,100800000.0
Ouija,98600000.0
Unbroken,98400000.0
Pitch Perfect,98400000.0
Mirror Mirror,98000000.0
The Purge: Election Year,95600000.0
Dark Shadows,95500000.0
Parental Guidance,94800000.0
This Is the End,94000000.0
The Visit,93500000.0
10 Cloverfield Lane,93300000.0
Zero Dark Thirty,92800000.00000001
This Means War,91500000.0
Olympus Has Fallen,91000000.0
Project X,90700000.0
Heaven Is for Real,89300000.0
Blended,88000000.0
The Purge,86300000.0
The Monuments Men,85000000.0
Hope Springs,84300000.0
Ride Along 2,84200000.0
Think Like a Man,84100000.0
Battleship,83000000.0
Warm Bodies,82000000.0
Shaun the Sheep Movie,81000000.0
Tammy,80500000.0
Evil Dead,80500000.0
Blue Jasmine,79500000.0
The Nut Job,78100000.0
The Shallows,76200000.0
Prisoners,76100000.0
The Second Best Exotic Marigold Hotel,76000000.0
The 5th Wave,75700000.0
Ghost Rider: Spirit of Vengeance,75600000.0
Jack Ryan: Shadow Recruit,75500000.0
Sisters,75000000.0
Sinister,74700000.0
The Lucky One,74400000.0
Vacation,73900000.0
Total Recall,73500000.0
Paper Towns,73500000.0
Ghostbusters,73500000.0
Neighbors 2: Sorority Rising,72900000.0
Get Hard,71800000.0
2 Guns,70900000.0
My Big Fat Greek Wedding 2,70900000.0
War Room,70700000.0
The Divergent Series: Allegiant,69200000.0
Annie,68800000.00000001
Spotlight,68300000.0
Paranormal Activity: The Ghost Dimension,68100000.0
The Pirates! Band of Misfits,68000000.0
If I Stay,67900000.0
Paul Blart: Mall Cop 2,67600000.0
The Hundred-Foot Journey,66900000.0
Goosebumps,66200000.0
Money Monster,66100000.0
John Wick,66000000.0
The Possession,64500000.0
RED 2,64100000.0
Unfriended,63099999.99999999
Southpaw,62000000.0
God's Not Dead,60600000.0
Miracles from Heaven,60600000.0
Poltergeist,60400000.0
Riddick,60300000.0
Pain & Gain,60200000.0
One Direction: This Is Us,58500000.0
Scary Movie 5,58400000.0
Star Trek Beyond,58000000.0
Deliver Us from Evil,57900000.0
A Haunted House,57600000.0
42,57500000.0
The Wedding Ringer,56800000.0
The Call,55600000.0
Diary of a Wimpy Kid: Dog Days,55100000.0
White House Down,55000000.0
Dragon Blade,55000000.0
Sicario,54900000.0
The Boy,54200000.0
The Gift,54000000.0
Chappie,53100000.0
Moonrise Kingdom ₪,52300000.0
The Grey,52300000.0
Rush,52200000.0
Brooklyn,51100000.0
Horrible Bosses 2,50700000.0
Woman in Gold,50600000.0
The Last Witch Hunter,50400000.0
I,50000000.0
The Book of Life,49800000.0
The Huntsman: Winter's War,49600000.0
The Boss,49600000.0
No Escape,49400000.0
The Boxtrolls,49300000.0
The Danish Girl,49200000.0
The Family,48400000.0
Fantastic Four,48000000.0
The Transporter Refueled,47600000.0
Hitman: Agent 47,47300000.0
ParaNorman,47100000.0
Black Mass,46800000.0
Selma,46800000.0
Krampus,46500000.0
Brick Mansions,46000000.0
Son of God,45800000.0
Whiplash,45700000.0
What to Expect When You're Expecting,44400000.0
Sinister 2,42900000.0
Snitch,42800000.0
The Perfect Guy,42300000.0
The Giver,42000000.0
Nightcrawler,41800000.0
St. Vincent,41800000.0
Step Up: All In,41200000.0
No Good Deed,41100000.0
Joy,41100000.0
End of Watch,41100000.0
The Age of Adaline,40700000.0
Boyhood,40500000.0
Savages,38000000.0
Pompeii,37800000.0
Wild,37500000.0
The Witch,37400000.0
Side Effects,36700000.0
The Cabin in the Woods,36500000.0
Chernobyl Diaries,36200000.0
The Lady in the Van,35400000.0
The Lazarus Effect,35100000.0
The Duff,35000000.0
Chef,35000000.0
The Internship,35000000.0
Barbershop: The Next Cut,35000000.0
The Man from U.N.C.L.E.,34800000.0
Escape from Planet Earth,34600000.0
Zhong Kui: Snow Girl and the Dark Crystal,34470000.0
The Judge,34400000.0
Magic in the Moonlight,34200000.0
The Woman in Black: Angel of Death,33900000.0
That Awkward Moment,32500000.0
Earth to Echo,32300000.0
Silent Hill: Revelation 3D,32300000.0
The Place Beyond the Pines,32000000.0
Here Comes the Boom,31100000.0
A Walk Among the Tombstones,30800000.0
The Mortal Instruments: City of Bones,30600000.0
Gangster Squad,30200000.0
Devil's Due,29900000.0
Point Break,28699999.999999985
Carol,28500000.0
A Walk in the Woods,28000000.0
The Forest,27600000.0
Nerve,27600000.0
The Night Before,27400000.0
Texas Chainsaw 3D,27200000.0
Risen,26100000.0
The World's End,26100000.0
You're Next,25800000.0
The Three Stooges,24800000.0
13 Hours: The Secret Soldiers of Benghazi,24400000.0
Max,24000000.0
The Five-Year Engagement,23900000.0
Jobs,23900000.0
The Host,23300000.0
Ricki and the Flash,23300000.0
Eddie the Eagle,23200000.0
Room,23000000.0
Dark Skies,22900000.0
Killing Them Softly,22900000.0
Mud,22600000.0
Ex Machina,21900000.0
Dolphin Tale 2,21800000.0
Good Deeds,21600000.0
This Is Where I Leave You,21500000.0
Project Almanac,21200000.000000004
A Most Wanted Man,21200000.0
The Perks of Being a Wallflower,20400000.0
Salmon Fishing in the Yemen,20200000.0
Beasts of the Southern Wild,20100000.0
A Haunted House 2,20000000.0
The November Man,19800000.0
Eye in the Sky,19799999.999999996
Crimson Peak,19700000.0
Big Eyes,19300000.0
Seventh Son,19200000.0
Mother's Day,18800000.0
Amy,18600000.0
Race,18500000.0
God's Not Dead 2,18500000.0
Don't Breathe,18400000.0
Suffragette,18000000.0
Enough Said,17300000.0
Love the Coopers,17100000.0
Abraham Lincoln: Vampire Hunter,16900000.0
Hot Pursuit,16700000.0
Burnt,16600000.0
Irrational Man,16400000.0
The Walk,16200000.0
When the Game Stands Tall,15100000.0
Polis Evo,14900000.0
Top Five,14100000.0
Parker,13500000.0
Secret in Their Eyes,12700000.000000004
Florence Foster Jenkins,12700000.0
Hit and Run,12500000.0
Lockout,12200000.000000004
Left Behind,11600000.0
The Bling Ring,11100000.0
Entourage,10300000.0
The Last Exorcism Part II,10100000.0
Run All Night,10100000.0
The Campaign,9900000.0
Jersey Boys,9100000.0
Frances Ha,8300000.0
The Single Moms Club,8300000.0
The Water Diviner,8300000.0
The Raid: Redemption ₪,8040000.0
Beyond the Lights,7600000.0
The Darkness,6900000.0
The Drop,6100000.0
Zoolander 2,6000000.0
Keanu,5700000.0
Gods of Egypt,5700000.0
Moms' Night Out,5500000.0
The Perfect Match,5400000.0
Declaration of War,5000000.0
Son of Saul,4700000.0
Draft Day,4500000.0
Self/less,4500000.0
The Spectacular Now,4400000.0
Steve Jobs,4400000.0
Trance,4300000.0
Man on a Ledge,4200000.0
Criminal,4100000.0
The Raven,3700000.0
Mustang,3600000.0
Get on Up,3400000.0
Triple 9,3400000.0
The Last Stand,3300000.0
Transcendence,3000000.0
War Dogs,2700000.0
Robot & Frank,2400000.0
The Second Mother,2200000.0
Friends with Kids,2200000.0
The Raid 2,2100000.0
Cloud Atlas,2000000.0
Woodlawn,1400000.0
Embrace of the Serpent,1400000.0
Me and Earl and the Dying Girl,1100000.0
Batman: The Killing Joke,900000.0
Captive,800000.0
Iron Sky,600000.0
The Letters,600000.0
The Vatican Tapes,500000.0
The Watch,300000.0
The Man with the Iron Fists,300000.0
Beautiful Creatures,100000.0
"As Above, So Below",0.0
"The Way, Way Back",0.0
"Runner, Runner",0.0
"Hail, Caesar!",0.0
"Jeff, Who Lives at Home",0.0
Rams,-10000.0
90 Minutes in Heaven,-200000.0
Alex Cross,-400000.0
The Sweet Escape,-500000.0
Wish I Was Here,-500000.0
Lazer Team,-800000.0
American Ultra,-900000.0
Tusk,-1100000.0
The 33,-1100000.0
The Collection,-1100000.0
The Signal,-1580000.0
Danny Collins,-1800000.000000001
No One Lives,-1900000.0
What Maisie Knew,-2300000.0
Kill the Messenger,-2500000.0
Little Boy,-2500000.0
Veronica Mars,-2500000.0
Fun Size,-2600000.0
Jem and the Holograms,-2700000.0
Ain't Them Bodies Saints,-3000000.0
One for the Money,-3100000.0
The Cold Light of Day,-3100000.0
Cesar Chavez,-3300000.0
Battle of the Year,-3500000.0
People Like Us,-3600000.0
The Master,-3700000.0
Premium Rush,-3900000.0
The East,-4100000.0
Truth,-4200000.0
71,-5200000.0
The Iceman,-5600000.0
Victor Frankenstein,-5800000.0
In the Heart of the Sea,-6100000.0
Getaway,-6200000.0
The Incredible Burt Wonderstone,-6600000.0
Concussion,-6700000.0
By the Sea,-6700000.0
Trumbo,-6800000.000000001
Before I Go to Sleep,-6900000.0
Promised Land,-6900000.0
Ratchet & Clank,-7200000.0
Red Tails,-7600000.0
A Most Violent Year,-8000000.0
The Legend of Hercules,-8700000.0
Whiskey Tango Foxtrot,-10100000.0
I Saw the Light,-10400000.0
Popstar: Never Stop Never Stopping,-10500000.0
Wanderlust,-10800000.0
Nine Lives,-10900000.0
Trouble with the Curve,-11000000.0
The Young Messiah,-11300000.0
Rock the Kasbah,-11600000.0
Pride and Prejudice and Zombies,-11600000.000000002
Chasing Mavericks,-11700000.0
Midnight Special,-11800000.0
Dead Man Down,-11900000.0
Romeo and Juliet,-12000000.0
Mortdecai,-13000000.0
The Identical,-13200000.0
Won't Back Down,-13600000.0
Pawn Sacrifice,-13600000.0
Vampire Academy,-14600000.0
A Long Way Down,-15600000.0
Rock of Ages,-15600000.0
The Gunman,-15800000.0
Red Dawn,-16900000.0
Sabotage,-17500000.0
My All American,-17800000.0
A Thousand Words,-18000000.0
Hands of Stone,-18300000.0
The Oogieloves in the Big Balloon Adventure,-18900000.0
Our Brand Is Crisis,-19400000.0
Unfinished Business,-20600000.0
Pan,-21600000.0
Jane Got a Gun,-22000000.0
Sin City: A Dame to Kill For,-25600000.0
Aloha,-25700000.0
Free State of Jones,-28800000.0
Winter's Tale,-28900000.0
The Infiltrator,-32300000.0
Kubo and the Two Strings,-32400000.0
Mechanic: Resurrection,-32500000.0
The Interview,-32700000.0
Bullet to the Head,-33100000.0
Child 44,-37000000.0
Blackhat,-50300000.0
R.I.P.D.,-51700000.0
Ben-Hur,-58600000.0
